"","code","sections","college","sub_college","abbr","no","title","student","A","tgp","avg"
"70","A E 550",3,NA,NA,"A E",550,"MECH OF COMPOSITES",69,4,225.1,3.26231884057971
"71","A E 553",1,"College of Engineering","College of Engineering","A E",553,"ADV COMPOSITE STRUC",19,8,70.3,3.7
"72","A E 554",1,NA,NA,"A E",554,"MANUFACT AERO COMP",23,1,82.8,3.6
"73","A E 559",5,"College of Engineering","College of Engineering","A E",559,"AE TOPICS: COMPSTS",133,41,479.4,3.60451127819549
"74","A S 101",14,NA,NA,"A S",101,"FOUNDATION USAF I",265,147,947.2,3.57433962264151
"75","A S 102",9,NA,NA,"A S",102,"FOUNDATION USAF II",171,86,598.3,3.49883040935672
"76","A S 103",7,NA,NA,"A S",103,"FOUNDATION USAF III",147,108,550.9,3.74761904761905
"77","A S 211",6,NA,NA,"A S",211,"AIR & SPACE PWR I",114,65,403.5,3.53947368421053
"78","A S 212",2,"College of Arts and Sciences","Social Sciences","A S",212,"AIR & SPACE PWR II",46,32,175.2,3.80869565217391
"79","A S 213",3,"College of Arts and Sciences","Social Sciences","A S",213,"AIR & SPACE PWR III",65,47,244.3,3.75846153846154
"80","A S 331",6,NA,NA,"A S",331,"AEROSPACE STDYS 300",114,63,422.2,3.70350877192982
"81","A S 332",7,NA,NA,"A S",332,"AEROSPACE STDYS 300",126,93,484.7,3.8468253968254
"82","A S 333",5,NA,NA,"A S",333,"AEROSPACE STDYS 300",105,80,405.5,3.86190476190476
"83","A S 431",5,NA,NA,"A S",431,"AEROSPACE STDYS 400",107,49,379.4,3.54579439252336
"84","A S 432",4,NA,NA,"A S",432,"AEROSPACE STDYS 400",80,62,305.7,3.82125
"85","A S 433",4,NA,NA,"A S",433,"AEROSPACE STDYS 400",84,59,318,3.78571428571429
"86","AAS 101",17,NA,NA,"AAS",101,"ASIAN-AM CULTURE",1084,56,3330,3.0719557195572
"87","AAS 206",11,NA,NA,"AAS",206,"CONTEMP PROB AS AM",778,144,2618,3.36503856041131
"88","AAS 210",8,NA,NA,"AAS",210,"ASIAN-AM IDENTITY",309,54,1006.9,3.25857605177994
"89","AAS 220",2,NA,NA,"AAS",220,"ASIAN AM STEREOTYPE",88,15,299.2,3.4
"90","AAS 250",5,NA,NA,"AAS",250,"ASIAN AM ORAL HIST",122,2,394.1,3.23032786885246
"91","AAS 310",4,NA,NA,"AAS",310,"ASIAN AMERICANS PNW",129,11,425.3,3.2968992248062
"92","AAS 314",2,NA,NA,"AAS",314,"SE ASIA/ASIAN AM",46,4,146.5,3.18478260869565
"93","AAS 320",8,NA,NA,"AAS",320,"HAWAII'S LITS",369,81,1279.8,3.46829268292683
"94","AAS 330",9,NA,NA,"AAS",330,"ASIAN AMER THEATER",385,131,1374.1,3.56909090909091
"95","AAS 350",7,NA,NA,"AAS",350,"CHIN-AMER HIST CULT",181,31,593.2,3.27734806629834
"96","AAS 360",9,NA,NA,"AAS",360,"FIL-AM HIST & CLTR",348,102,1185.7,3.40718390804598
"97","AAS 370",7,NA,NA,"AAS",370,"JPN-AM HIST CLTR",235,65,794.7,3.38170212765957
"98","AAS 372",7,NA,NA,"AAS",372,"INTRNMT CMPS N AMER",226,50,752.4,3.32920353982301
"99","AAS 380",4,NA,NA,"AAS",380,"ASIAN-AM COMMUNITY",103,27,350.2,3.4
"100","AAS 385",7,NA,NA,"AAS",385,"AAS LAW AND IMMIGRA",204,15,679.8,3.33235294117647
"101","AAS 392",9,NA,NA,"AAS",392,"ASIAN-AMER WOMEN",296,20,945.7,3.19493243243243
"102","AAS 395",9,NA,NA,"AAS",395,"SE-ASIAN AM HST/CLT",266,42,889.7,3.34473684210526
"103","AAS 402",8,NA,NA,"AAS",402,"CONTEMP ASIA-AM LIT",341,54,1126.6,3.30381231671554
"104","AAS 498",1,NA,NA,"AAS",498,"SPECIAL TOPICS",18,5,57.6,3.2
"105","ACADEM 197",9,NA,NA,"ACADEM",197,"RESEARCH SEMINARS",316,94,1134.1,3.58892405063291
"106","ACADEM 198",8,NA,NA,"ACADEM",198,"RESEARCH SEMINARS",240,235,938.8,3.91166666666667
"107","ACCTG 215",82,NA,NA,"ACCTG",215,"ACCTG & FIN REPRTNG",11247,1508,33420.5,2.97150351204766
"108","ACCTG 219",12,NA,NA,"ACCTG",219,"ACCOUNTING ESSNTLS",721,101,2121.2,2.94202496532594
"109","ACCTG 225",69,NA,NA,"ACCTG",225,"MANAGERIAL ACCTG",8031,673,23987.3,2.98683850080936
"110","ACCTG 275",5,NA,NA,"ACCTG",275,"ACCTG ESSENTIALS",85,11,263.4,3.09882352941176
"111","ACCTG 301",45,NA,NA,"ACCTG",301,"INTERMED ACCTG I",1838,130,5754.4,3.13079434167573
"112","ACCTG 302",42,NA,NA,"ACCTG",302,"INTERMED ACCTG II",1652,71,5141.8,3.11246973365617
"113","ACCTG 303",42,NA,NA,"ACCTG",303,"INTERMED ACCTG III",1637,127,5080.5,3.10354306658522
"114","ACCTG 311",38,NA,NA,"ACCTG",311,"COST ACCOUNTING",1630,153,5189.7,3.18386503067485
"115","ACCTG 320",35,NA,NA,"ACCTG",320,"ACCTG INFO SYSTEMS",1565,82,5011,3.20191693290735
"116","ACCTG 321",34,NA,NA,"ACCTG",321,"TAX EFF OF BUS DECS",1684,236,5618,3.33610451306413
"117","ACCTG 411",35,NA,NA,"ACCTG",411,"AUDIT STANDRDS PRIN",1567,123,5205.6,3.32201659221442
"118","ACCTG 440",36,NA,NA,"ACCTG",440,"ACC & FIN MGT DEC",1537,195,5087,3.30969420949902
"119","ACCTG 450",15,NA,NA,"ACCTG",450,"BUSINESS TAXATION",352,67,1212.5,3.44460227272727
"120","ACCTG 451",3,"Foster School of Business","Foster School of Business","ACCTG",451,"INDIV INC TAXATION",58,11,196.4,3.38620689655172
"121","ACCTG 460",2,NA,NA,"ACCTG",460,"ADV COST ACCOUNTING",43,3,148.2,3.44651162790698
"122","ACCTG 471",10,NA,NA,"ACCTG",471,"FRAUD EXAMINATION",408,24,1371.8,3.36225490196078
"123","ACCTG 480",11,NA,NA,"ACCTG",480,"NOT FOR PROFIT ACCT",385,30,1258,3.26753246753247
"124","ACCTG 485",6,NA,NA,"ACCTG",485,"ADV FIN ACCTG",175,16,543,3.10285714285714
"125","ACCTG 490",4,NA,NA,"ACCTG",490,"SPEC TOPICS-ACCTG",186,22,642.2,3.45268817204301
"126","ACCTG 500",14,NA,NA,"ACCTG",500,"FINANCIAL ACCTG",804,149,2758,3.43034825870647
"127","ACCTG 501",16,NA,NA,"ACCTG",501,"MANAGERIAL ACCTG",858,129,2941.2,3.42797202797203
"128","ACCTG 502",3,"Foster School of Business","Foster School of Business","ACCTG",502,"FIN REP AND ANALYSIS",172,16,589.4,3.42674418604651
"129","ACCTG 505",38,"Foster School of Business","Foster School of Business","ACCTG",505,"ANLYS ACCTG PRINCPL",1285,140,4338.3,3.37610894941634
"130","ACCTG 506",12,NA,NA,"ACCTG",506,"INTEN ACCT PRIN 1",622,53,2005,3.22347266881029
"131","ACCTG 507",14,NA,NA,"ACCTG",507,"INTEN ACCT PRIN 2",587,66,1961.6,3.34173764906303
"132","ACCTG 508",15,NA,NA,"ACCTG",508,"INTEN ACCT PRIN 3",605,48,2068.3,3.41867768595041
"133","ACCTG 510",11,"Foster School of Business","Foster School of Business","ACCTG",510,"INTR FIN STMT ANLYS",315,78,1115.9,3.54253968253968
"134","ACCTG 520",2,"Foster School of Business","Foster School of Business","ACCTG",520,"ACCTG REGULATION",76,4,258.4,3.4
"135","ACCTG 521",9,NA,NA,"ACCTG",521,"CASES INFO QUALITY",405,59,1433.7,3.54
"136","ACCTG 522",1,"Foster School of Business","Foster School of Business","ACCTG",522,"ACCT DATA ANALYTICS",38,6,136.8,3.6
"137","ACCTG 523",10,NA,NA,"ACCTG",523,"ADV FIN ANALYSIS",443,51,1541.1,3.47878103837472
"138","ACCTG 526",6,NA,NA,"ACCTG",526,"PRIN OF TAXATION",268,42,916.2,3.41865671641791
"139","ACCTG 527",15,NA,NA,"ACCTG",527,"CMU IN PROF ACCTG",367,33,1310.6,3.57111716621253
"140","ACCTG 528",6,NA,NA,"ACCTG",528,"COMM FOR AUDITORS",269,32,971.8,3.61263940520446
"141","ACCTG 529",6,NA,NA,"ACCTG",529,"BUS ETHICS AND LAW",269,28,941.5,3.5
"142","ACCTG 530",9,NA,NA,"ACCTG",530,"TAX ISSUES-PROPERTY",417,57,1458,3.49640287769784
"143","ACCTG 531",8,NA,NA,"ACCTG",531,"TAX-TIMING-PERIODS",385,52,1372.1,3.5638961038961
"144","ACCTG 532",1,"Foster School of Business","Foster School of Business","ACCTG",532,"TAX DATA ANALYTICS",41,15,155.8,3.8
"145","ACCTG 533",9,NA,NA,"ACCTG",533,"TAX PROCEDURE",417,46,1459.6,3.50023980815348
"146","ACCTG 534",9,NA,NA,"ACCTG",534,"CORPORATE TAXATION",418,74,1466.2,3.50765550239234
"147","ACCTG 535",8,NA,NA,"ACCTG",535,"CORPORATIONS II",372,68,1300.7,3.49650537634409
"148","ACCTG 536",14,NA,NA,"ACCTG",536,"CORPORATIONS III",372,107,1352.6,3.63602150537634
"149","ACCTG 537",8,NA,NA,"ACCTG",537,"CONDUITS I",381,89,1362.7,3.57664041994751
"150","ACCTG 538",8,NA,NA,"ACCTG",538,"CONDUITS II",372,88,1330.1,3.5755376344086
"151","ACCTG 539",13,NA,NA,"ACCTG",539,"TAX RESEARCH",444,65,1589.1,3.57905405405405
"152","ACCTG 540",5,"Foster School of Business","Foster School of Business","ACCTG",540,"CMU TAX PROF I",233,51,838.4,3.59828326180258
"153","ACCTG 541",8,NA,NA,"ACCTG",541,"CMU TAX PROF I",372,93,1348.6,3.6252688172043
"154","ACCTG 542",4,NA,NA,"ACCTG",542,"CMU TAX PROF III",187,56,686.4,3.67058823529412
"155","ACCTG 547",8,NA,NA,"ACCTG",547,"ESTATE AND TAXATION",382,45,1341.7,3.51230366492147
"156","ACCTG 548",6,NA,NA,"ACCTG",548,"SPEAKER FORUM-TAX",278,38,1008.1,3.62625899280576
"157","ACCTG 549",7,NA,NA,"ACCTG",549,"TAX PLANNING",324,51,1141.7,3.52376543209877
"158","ACCTG 560",9,NA,NA,"ACCTG",560,"TOPICS/PROF ACCTG",227,50,794,3.49779735682819
"159","ACCTG 579",40,NA,NA,"ACCTG",579,"SPEC TOPICS ACCTNG",1608,302,5705.2,3.54800995024876
"160","AES 150",43,NA,NA,"AES",150,"AMER ETHNIC HISTORY",3378,476,10794.6,3.1955595026643
"161","AES 151",9,NA,NA,"AES",151,"INT AMER ETH GROUPS",1426,614,4745.6,3.32791023842917
"162","AES 211",1,NA,NA,"AES",211,"ENVIR JUSTICE",23,0,48.3,2.1
"163","AES 212",8,NA,NA,"AES",212,"COMP AM ETHNIC LIT",956,227,3090.3,3.23253138075314
"164","AES 322",1,NA,NA,"AES",322,"GEND RACE CLASS",23,13,82.8,3.6
"165","AES 333",4,NA,NA,"AES",333,"RACE & ETHN MILITARY",88,14,250.2,2.84318181818182
"166","AES 335",5,NA,NA,"AES",335,"SPORTS SOC CHNG 20C",347,118,1248.9,3.59913544668588
"167","AES 340",8,NA,NA,"AES",340,"RACE ETHNICITY & ED",752,277,2585,3.4375
"168","AES 345",1,NA,NA,"AES",345,"ETHNO MTHDS SCHOOLS",43,10,141.9,3.3
"169","AES 380",3,"College of Arts and Sciences","Social Sciences","AES",380,"RACE&USA PUBLIC POL",133,70,452.1,3.39924812030075
"170","AES 389",1,NA,NA,"AES",389,"RACE/GENDR/SEXUALTY",22,2,70.4,3.2
"171","AES 450",1,NA,NA,"AES",450,"AMER ETHNIC HEALTH",45,18,162,3.6
"172","AES 461",4,"College of Arts and Sciences","Social Sciences","AES",461,"RACE REL IN AMERCAS",96,33,311,3.23958333333333
"173","AES 498",10,NA,NA,"AES",498,"AES SPECIAL TOPICS",225,102,759.7,3.37644444444444
"174","AFRAM 101",20,NA,NA,"AFRAM",101,"INTRO AF-AM STUDIES",1289,450,4163.1,3.22971295577967
"175","AFRAM 150",8,NA,NA,"AFRAM",150,"INTRO AF-AM HISTORY",267,88,842.4,3.15505617977528
"176","AFRAM 214",7,NA,NA,"AFRAM",214,"AFRAM LIT 1745-PRES",148,23,450.4,3.04324324324324
"177","AFRAM 220",6,NA,NA,"AFRAM",220,"AFRAM FILM STUDIES",291,34,911.4,3.1319587628866
"178","AFRAM 246",4,NA,NA,"AFRAM",246,"AFRAM POLITICS",121,8,340,2.8099173553719
"179","AFRAM 260",5,NA,NA,"AFRAM",260,"AF-AM FAMILIES",149,39,472.4,3.17046979865772
"180","AFRAM 270",4,NA,NA,"AFRAM",270,"THE JAZZ AGE",101,32,344.5,3.41089108910891
"181","AFRAM 272",6,NA,NA,"AFRAM",272,"SOUTH SINCE CVL WAR",272,117,930.6,3.42132352941176
"182","AFRAM 315",1,NA,NA,"AFRAM",315,"BLACK IDEN/POL POWR",22,4,72.6,3.3
"183","AFRAM 318",6,NA,NA,"AFRAM",318,"BLACK LIT GENRES",123,15,393.5,3.19918699186992
"184","AFRAM 320",3,NA,NA,"AFRAM",320,"BLK WOMEN IN DRAMA",106,13,333.8,3.14905660377358
"185","AFRAM 330",3,"College of Arts and Sciences","Social Sciences","AFRAM",330,"MUS & FKLR BLK SOC",117,65,407.9,3.48632478632479
"186","AFRAM 334",7,NA,NA,"AFRAM",334,"SIXTIES IN AMERICA",179,67,631.5,3.52793296089385
"187","AFRAM 337",8,NA,NA,"AFRAM",337,"MUS & SOC CHANGE",345,121,1200,3.47826086956522
"188","AFRAM 340",4,NA,NA,"AFRAM",340,"HARLEM RENAISSANCE",170,18,552.2,3.24823529411765
"189","AFRAM 350",1,NA,NA,"AFRAM",350,"BLACK AESTHETICS",43,23,163.4,3.8
"190","AFRAM 358",3,NA,NA,"AFRAM",358,"LIT OF BLK AMERICA",49,5,152.2,3.10612244897959
"191","AFRAM 370",3,NA,NA,"AFRAM",370,"AFRAM POLIT THOUGHT",80,21,269.1,3.36375
"192","AFRAM 437",4,NA,NA,"AFRAM",437,"BLACKS IN AMER LAW",147,65,524.3,3.56666666666667
"193","AFRAM 498",5,NA,NA,"AFRAM",498,"SPEC TOP AFRAM STDY",172,84,576.1,3.34941860465116
"194","AIS 102",15,NA,NA,"AIS",102,"SURV AM INDN STDYS",1265,474,4343.3,3.43343873517787
"195","AIS 103",1,NA,NA,"AIS",103,"INDIGENOUS PAC NW",51,26,178.5,3.5
"196","AIS 110",3,NA,NA,"AIS",110,"MUS TRADS NATIVE NA",162,62,584.7,3.60925925925926
"197","AIS 170",5,NA,NA,"AIS",170,"SURV N AMER IND ART",214,75,705.1,3.29485981308411
"198","AIS 201",3,NA,NA,"AIS",201,"INTRO AMER IND HIST",133,5,376.7,2.83233082706767
"199","AIS 202",10,NA,NA,"AIS",202,"CONTEM INDIAN EXPER",362,108,1187.3,3.27983425414365
"200","AIS 203",7,NA,NA,"AIS",203,"PHIL-AESTHET UNIVER",212,106,731.6,3.45094339622642
"201","AIS 209",1,NA,NA,"AIS",209,"AMER IND HST TO 1815",22,5,61.6,2.8
"202","AIS 210",1,"College of Arts and Sciences","Social Sciences","AIS",210,"AMER INDIAN HSTRY II",24,7,81.6,3.4
"203","AIS 212",1,"College of Arts and Sciences","Social Sciences","AIS",212,"INDIG LEADRS & ACTIV",15,3,49.5,3.3
"204","AIS 230",6,NA,NA,"AIS",230,"IND. GAMING, CASINOS",206,43,701.4,3.40485436893204
"205","AIS 240",3,NA,NA,"AIS",240,"NAT NO AM WOMEN",96,6,323.2,3.36666666666667
"206","AIS 253",7,NA,NA,"AIS",253,"WOOD DESIGN",138,55,498.9,3.61521739130435
"207","AIS 270",11,NA,NA,"AIS",270,"PACIFIC NW NATIVES",396,179,1388.1,3.50530303030303
"208","AIS 271",1,NA,NA,"AIS",271,"MNT WEST NATIVES",31,3,105.4,3.4
"209","AIS 275",7,"College of Arts and Sciences","Social Sciences","AIS",275,"INTR INDGENOUS STDY",124,57,433.9,3.4991935483871
"210","AIS 313",1,"College of Arts and Sciences","Social Sciences","AIS",313,"AM IND LANG-SALISH",20,9,68,3.4
"211","AIS 317",1,NA,NA,"AIS",317,"AM IND SOUTHWEST",15,3,46.5,3.1
"212","AIS 320",1,NA,NA,"AIS",320,"CHANGING RIVERS",17,7,57.8,3.4
"213","AIS 331",2,"College of Arts and Sciences","Social Sciences","AIS",331,"AMER INDIAN HIST I",34,4,100.3,2.95
"214","AIS 335",11,NA,NA,"AIS",335,"AMER IND & THE LAW",363,115,1232.9,3.39641873278237
"215","AIS 340",10,NA,NA,"AIS",340,"INDIAN CHILD & FAM",314,178,1148.6,3.65796178343949
"216","AIS 350",11,NA,NA,"AIS",350,"NWC IND ART/2 DIM",242,84,850.5,3.51446280991736
"217","AIS 360",12,NA,NA,"AIS",360,"INDIANS IN CINEMA",751,274,2632.3,3.50505992010652
"218","AIS 375",2,NA,NA,"AIS",375,"TPCS INDGENOUS STDY",39,25,134.4,3.44615384615385
"219","AIS 377",3,NA,NA,"AIS",377,"CONTEMP AM IND LIT",66,11,233,3.53030303030303
"220","AIS 378",8,NA,NA,"AIS",378,"NW CONTMP AM IND LIT",202,108,721.6,3.57227722772277
"221","AIS 379",8,NA,NA,"AIS",379,"POWWOW-TRAD & INNOV",496,237,1762.7,3.55383064516129
"222","AIS 431",4,NA,NA,"AIS",431,"HIST AMERIND EDUCTN",106,39,369,3.4811320754717
"223","AIS 441",3,NA,NA,"AIS",441,"GENDER-NATIV AM SOC",74,51,275.7,3.72567567567568
"224","AIS 442",3,NA,NA,"AIS",442,"CINEMA IMAGE NATIVS",72,41,247.9,3.44305555555556
"225","AIS 443",8,NA,NA,"AIS",443,"INDGN FILM/SVRN VIS",220,143,819,3.72272727272727
"226","AIS 461",2,NA,NA,"AIS",461,"FIRST NAT GOV+POLIT",41,17,141.4,3.44878048780488
"227","AIS 465",4,NA,NA,"AIS",465,"FIRST NAT FILMMAKNG",99,37,330,3.33333333333333
"228","AIS 466",2,NA,NA,"AIS",466,"PRODUCING DOC SHORT",38,37,152,4
"229","AIS 475",9,NA,NA,"AIS",475,"SPEC TOP IND ST",257,115,890.4,3.46459143968872
"230","AIS 480",2,NA,NA,"AIS",480,"INDIGENOUS RESISTANC",32,28,124.8,3.9
"231","AIS 499",1,NA,NA,"AIS",499,"INDEPENDENT STUDY",15,7,55.5,3.7
"232","AMATH 301",85,NA,NA,"AMATH",301,"BEG SCI COMPUTING",9091,2074,29733.5,3.27065229347707
"233","AMATH 342",3,NA,NA,"AMATH",342,"NEURAL CODE COMPUTE",121,46,397.3,3.28347107438017
"234","AMATH 351",33,NA,NA,"AMATH",351,"DIFF EQUATIONS",1556,281,4716.4,3.03110539845758
"235","AMATH 352",33,NA,NA,"AMATH",352,"LINR ALG & NUM ANLY",2387,492,7745.9,3.24503560955174
"236","AMATH 353",10,NA,NA,"AMATH",353,"PARTIAL DIFF EQNS",478,54,1463,3.06066945606695
"237","AMATH 383",30,NA,NA,"AMATH",383,"INTRODUCT MODELING",1584,317,5244.3,3.31079545454545
"238","AMATH 401",10,NA,NA,"AMATH",401,"VEC CAL COMPLEX VAR",419,38,1213.4,2.89594272076372
"239","AMATH 402",8,NA,NA,"AMATH",402,"DYNAMCL SYSTS&CHAOS",352,45,1125.3,3.196875
"240","AMATH 403",8,NA,NA,"AMATH",403,"METHODS PAR DIFF EQ",194,40,640.6,3.3020618556701
"241","AMATH 422",8,NA,NA,"AMATH",422,"INTRO MATH BIOLOGY",159,79,574.3,3.61194968553459
"242","AMATH 423",1,NA,NA,"AMATH",423,"MATH ANLYS BIO MED",17,5,62.9,3.7
"243","AMATH 460",1,NA,NA,"AMATH",460,"MATH METHODS FOR QF",17,1,52.7,3.1
"244","AMATH 461",1,NA,NA,"AMATH",461,"COMP FIN PROB STATS",18,1,50.4,2.8
"245","AMATH 462",1,NA,NA,"AMATH",462,"INTRO CMPFIN/FINECN",24,12,86.4,3.6
"246","AMATH 481",7,NA,NA,"AMATH",481,"SCIENTIFIC COMPTG",215,39,731.3,3.40139534883721
"247","AMATH 482",9,NA,NA,"AMATH",482,"COMP METH DATA ANLY",305,100,1048.2,3.43672131147541
"248","AMATH 483",12,NA,NA,"AMATH",483,"HI-PRFM SCI COMPG",328,114,1137.2,3.46707317073171
"249","AMATH 500",7,NA,NA,"AMATH",500,"SPEC STDY APPL MATH",156,47,527.8,3.38333333333333
"250","AMATH 501",19,NA,NA,"AMATH",501,"VEC CAL COMPLEX VAR",659,120,2232.9,3.38831562974203
